class,sprite_count,ap50
royal-recruit-evolution,150,0.7362
skeleton,148,0.6699
bar,136,0.3465
skeleton-dragon,101,0.9786
rascal-girl,98,0.9636
bat,95,0.9385
spear-goblin,91,0.9238
musketeer,87,0.9787
king-tower,76,0.9948
guard,69,0.7478
hog-rider,68,0.8693
royal-recruit,67,0.6774
ice-spirit,66,0.6437
goblin,63,0.7139
mega-knight,60,0.7752
ice-wizard,60,0.5077
bat-evolution,59,0.9200
prince,58,0.9043
archer-evolution,57,0.8874
skeleton-king,56,0.9950
barbarian-evolution,55,0.4736
queen-tower,54,0.9940
ice-golem,54,0.8097
sparky,53,0.9903
little-prince,53,0.7370
knight,53,0.9162
rascal-boy,52,0.9690
miner,46,0.2373
tower-bar,46,0.9910
skeleton-evolution,46,0.5277
golden-knight,45,0.9684
minion,44,0.8083
archer,44,0.8279
barbarian,42,0.4723
wizard,41,0.1516
goblin-brawler,39,0.8421
mother-witch,38,0.3413
fireball,37,0.9766
night-witch,36,0.9155
lava-pup,36,0.6886
bandit,36,0.7238
valkyrie-evolution,35,0.9617
baby-dragon,35,0.9201
the-log,34,0.8018
elite-barbarian,34,0.6651
dark-prince,34,0.9950
elixir,32,0.9378
archer-queen,32,0.9189
battle-healer,31,0.9950
zappy,30,0.7092
golem,30,0.7688
fisherman,30,0.9533
dirt,30,0.9950
clock,30,0.9847
bomber-evolution,30,0.0000
fire-spirit,29,0.8780
evolution-symbol,29,0.9950
bomber,29,0.9950
royal-hog,27,0.9950
inferno-dragon,27,0.9950
royal-guardian,26,0.9950
mini-pekka,26,0.7561
magic-archer,26,0.7629
golemite,26,0.9924
firecracker,26,0.9459
mega-minion,25,0.8818
flying-machine,25,0.6187
emote,25,0.7277
electro-dragon,25,0.9950
cannon,25,0.9866
giant,23,0.9950
valkyrie,22,0.9950
pekka,22,0.8702
monk,22,0.9950
lumberjack,22,0.9915
lava-hound,22,0.8549
hunter,22,0.9315
dagger-duchess-tower-bar,22,0.4245
bar-level,22,0.0492
royal-ghost,21,0.7021
rocket,21,0.9950
knight-evolution,21,0.1215
heal-spirit,21,0.9510
goblin-barrel,21,0.9817
dart-goblin,21,0.9950
battle-ram,21,0.9950
wall-breaker,20,0.9950
goblin-giant,20,0.9950
executioner,20,0.6653
electro-spirit,20,0.5601
cannoneer-tower,20,0.9929
phoenix-big,19,0.4972
ram-rider,18,0.9950
dagger-duchess-tower,18,0.9950
cannon-cart,18,0.7885
axe,18,0.9950
witch,17,0.9950
princess,17,0.8803
king-tower-bar,17,0.9855
firecracker-evolution,17,0.9950
electro-wizard,17,0.8873
royal-giant-evolution,16,0.5087
mighty-miner,16,0.9769
hog,16,0.9248
elixir-collector,16,0.9950
bowler,16,0.8214
giant-skeleton,15,0.9950
poison,14,0.9270
phoenix-small,14,0.9193
bomb-tower,14,0.3288
electro-giant,13,0.9950
tesla-evolution,12,0.0000
tesla,12,0.4203
skeleton-barrel,12,0.9950
elixir-golem-mid,12,0.9721
mortar-evolution,11,0.6409
ice-spirit-evolution,11,0.9236
giant-snowball,11,0.9950
elixir-golem-big,11,0.9950
battle-ram-evolution,11,0.9950
royal-giant,10,0.8588
mortar,10,0.9950
earthquake,10,0.8376
bomb,10,0.8514
zap,9,0.2451
skeleton-king-bar,9,0.9950
royal-delivery,9,0.9950
rage,9,0.9050
inferno-tower,9,0.9483
goblin-drill,8,0.6380
goblin-ball,8,0.9950
barbarian-barrel,8,0.3957
balloon,8,0.9950
wall-breaker-evolution,7,0.3686
tornado,7,0.9078
phoenix-egg,7,0.9950
lightning,7,0.9950
ice-spirit-evolution-symbol,6,0.0000
elixir-golem-small,6,0.9950
arrows,6,0.1899
freeze,5,0.8735
x-bow,4,0.8877
skeleton-king-skill,4,0.0000
goblin-cage,4,0.4306
graveyard,3,0.8036
goblin-hut,3,0.9950
furnace,2,0.6852
clone,2,0.8259
tombstone,1,0.9950
barbarian-hut,1,0.9950
